YEAR,DOY,HOUR,MINUTE,MAGNETOPAUSE(MP)/BOW Shock(BS),,X KSM(Rs),Y KSM(Rs),Z KSM(Rs)
2005,153,4,57,BS,Outbound,20.96,-31.49,-2.34
2005,153,20,20,BS,Outbound,21.45,-29.44,-2.19
2005,154,11,4,BS,Inbound,21.71,-27.18,-2.03
2005,154,21,32,BS,Inbound,21.74,-25.39,-1.9
2005,154,20,46,BS,Outbound,21.74,-25.52,-1.91
2005,155,3,24,BS,Inbound,21.69,-24.31,-1.82
2005,155,8,49,BS,Inbound,21.61,-23.26,-1.74
2005,155,18,38,BS,Inbound,21.35,-21.25,-1.59
2005,155,23,45,BS,Inbound,21.14,-20.13,-1.51
2005,155,3,1,BS,Outbound,21.7,-24.38,-1.82
2005,155,6,2,BS,Outbound,21.66,-23.8,-1.78
2005,155,10,43,BS,Outbound,21.57,-22.88,-1.71
2005,155,20,41,BS,Outbound,21.27,-20.8,-1.56
2005,171,13,40,BS,Inbound,20.87,-31.16,-2.56
2005,171,8,9,BS,Outbound,20.65,-31.88,-2.62
2005,171,17,6,BS,Outbound,20.98,-30.74,-2.53
2005,172,14,21,BS,Inbound,21.48,-27.62,-2.28
2005,172,17,54,BS,Outbound,21.51,-27.05,-2.24
2005,173,9,0,BS,Inbound,21.5,-24.36,-2.02
2005,173,12,5,BS,Outbound,21.46,-23.79,-1.97
2005,174,5,32,BS,Inbound,20.96,-20.14,-1.68
2005,174,12,24,BS,Inbound,20.61,-18.55,-1.55
2005,174,17,29,BS,Inbound,20.29,-17.32,-1.45
2005,174,23,45,BS,Inbound,19.81,-15.73,-1.32
2005,174,6,33,BS,Outbound,20.91,-19.91,-1.66
2005,174,14,11,BS,Outbound,20.5,-18.13,-1.52
2005,174,19,57,BS,Outbound,20.11,-16.71,-1.4
2005,175,7,21,BS,Inbound,19.08,-13.69,-1.15
2005,175,6,9,BS,Outbound,19.2,-14.01,-1.18
2005,182,15,23,BS,Inbound,5.18,-34.37,-2.96
2005,182,20,43,BS,Inbound,5.86,-34.91,-3.01
2005,182,10,48,BS,Outbound,4.58,-33.86,-2.91
2005,182,18,47,BS,Outbound,5.62,-34.73,-2.99
2005,183,9,39,BS,Inbound,7.45,-36.01,-3.11
2005,183,20,20,BS,Inbound,8.73,-36.71,-3.18
2005,183,5,11,BS,Outbound,6.9,-35.66,-3.08
2005,183,17,19,BS,Outbound,8.37,-36.53,-3.16
2005,184,17,35,BS,Inbound,11.13,-37.61,-3.27
2005,184,22,3,BS,Inbound,11.61,-37.72,-3.28
2005,184,14,39,BS,Outbound,10.81,-37.52,-3.26
2005,184,18,22,BS,Outbound,11.22,-37.63,-3.27
2005,185,18,0,BS,Inbound,13.66,-37.87,-3.31
2005,185,0,5,BS,Outbound,11.84,-37.76,-3.28
2005,187,19,25,BS,Inbound,17.91,-36.08,-3.18
2005,187,16,13,BS,Outbound,17.68,-36.29,-3.2
2005,188,14,57,BS,Inbound,19.2,-34.55,-3.06
2005,188,22,9,BS,Inbound,19.61,-33.87,-3
2005,188,22,48,BS,Inbound,19.65,-33.8,-3
2005,188,14,34,BS,Outbound,19.18,-34.58,-3.06
2005,188,18,53,BS,Outbound,19.43,-34.18,-3.03
2005,188,22,18,BS,Outbound,19.62,-33.85,-3
2005,192,11,14,BS,Inbound,20.84,-20.46,-1.86
2005,192,18,34,BS,Inbound,20.48,-18.77,-1.71
2005,192,5,33,BS,Outbound,21.04,-21.7,-1.97
2005,192,15,2,BS,Outbound,20.67,-19.59,-1.78
2005,193,15,43,BS,Inbound,18.76,-13.28,-1.23
2005,193,21,24,MP,Inbound,18.1,-11.67,-1.08
2005,193,9,10,BS,Outbound,19.42,-15.08,-1.39
2005,194,7,0,MP,Inbound,16.6,-8.67,-0.82
2005,194,5,50,MP,Outbound,16.81,-9.04,-0.85
2005,199,16,30,MP,Inbound,1.06,-30.49,-2.78
2005,199,13,9,MP,Outbound,0.6,-29.89,-2.72
2005,199,17,30,MP,Outbound,1.19,-30.66,-2.8
2005,205,18,13,BS,Outbound,16.97,-36.81,-3.48
2005,209,23,52,BS,Inbound,21.1,-24.58,-2.4
2005,209,22,13,BS,Outbound,21.12,-24.9,-2.43
2005,210,20,37,BS,Inbound,20.59,-20.26,-2
2005,210,15,48,BS,Outbound,20.77,-21.34,-2.1
2005,211,12,20,MP,Inbound,19.69,-16.47,-1.64
2005,218,9,30,MP,Outbound,2.02,-31.93,-3.1
2005,219,21,13,MP,Inbound,6.48,-35.92,-3.52
2005,219,21,50,MP,Outbound,6.56,-35.97,-3.53
2005,220,22,58,BS,Outbound,9.47,-37.43,-3.7
2005,221,0,23,BS,Inbound,9.62,-37.49,-3.71
2005,221,21,29,BS,Inbound,11.88,-38,-3.78
2005,221,1,23,BS,Outbound,9.73,-37.53,-3.71
2005,222,3,45,BS,Outbound,12.52,-38.04,-3.79
2005,223,0,46,BS,Inbound,14.52,-37.79,-3.79
2005,223,6,30,BS,Inbound,15.03,-37.62,-3.78
2005,223,3,14,BS,Outbound,14.74,-37.72,-3.78
2005,223,18,15,BS,Outbound,16.03,-37.15,-3.75
2005,224,13,31,BS,Inbound,17.5,-36.02,-3.66
2005,228,17,25,BS,Inbound,20.589,-22.373,-2.383
2005,228,23,52,BS,Inbound,20.398,-20.975,-2.245
2005,228,20,2,BS,Outbound,20.52,-21.815,-2.328
2005,229,8,40,MP,Inbound,20.04,-18.96,-2.05
2005,237,16,0,MP,Inbound,3.38,-34.38,-2.26
2005,237,14,50,MP,Outbound,3.25,-34.27,-2.26
2005,237,17,0,MP,Outbound,3.48,-34.46,-2.26
2005,239,10,45,MP,Inbound,7.69,-36.55,-2.01
2005,239,16,0,MP,Outbound,8.19,-36.61,-1.97
2005,240,11,0,MP,Inbound,6.67,-36.29,-2.09
2005,240,13,20,MP,Outbound,6.68,-36.29,-2.09
2005,241,20,20,BS,Inbound,12.486,-34.893,-1.431
2005,241,14,39,BS,Outbound,12.079,-35.275,-1.498
2005,241,22,33,BS,Outbound,12.64,-34.731,-1.404
2005,242,0,33,BS,Inbound,12.776,-34.578,-1.38
2005,242,2,32,BS,Inbound,12.909,-34.42,-1.355
2005,242,2,4,BS,Outbound,12.878,-34.458,-1.361
2005,244,6,57,BS,Inbound,15.437,-27.943,-0.659
2005,244,8,43,BS,Inbound,15.481,-27.641,-0.634
2005,244,5,53,BS,Outbound,15.409,-28.123,-0.675
2005,244,7,52,BS,Outbound,15.46,-27.787,-0.646
2005,246,12,10,MP,Inbound,14.74,-15.74,0.16
2005,246,19,50,MP,Inbound,14.1,-13.31,0.28
2005,246,23,30,MP,Inbound,13.7,-12.06,0.34
2005,246,17,50,MP,Outbound,14.29,-13.97,0.25
2005,246,21,55,MP,Outbound,13.88,-12.61,0.31
2005,251,23,0,MP,Inbound,-1.3,-29.79,-0.62
2005,251,20,0,MP,Outbound,-1.62,-29.2,-0.73
2005,252,17,17,BS,Inbound,0.604,-32.904,0.069
2005,252,16,29,BS,Outbound,0.521,-32.782,0.039
2005,253,12,25,BS,Outbound,2.585,-35.455,0.787
2005,254,1,28,BS,Inbound,3.909,-36.818,1.269
2005,254,2,0,BS,Outbound,3.963,-36.868,1.288
2005,255,0,14,BS,Inbound,6.145,-38.548,2.083
2005,255,2,14,BS,Inbound,6.336,-38.663,2.153
2005,255,17,22,BS,Inbound,7.749,-39.352,2.669
2005,255,0,27,BS,Outbound,6.165,-38.561,2.091
2005,255,2,38,BS,Outbound,6.374,-38.685,2.167
2005,255,18,6,BS,Outbound,7.816,-39.378,2.693
2005,256,0,36,BS,Inbound,8.403,-39.571,2.908
2005,256,4,56,BS,Inbound,8.787,-39.669,3.049
2005,256,12,39,BS,Inbound,9.459,-39.783,3.295
2005,256,20,23,BS,Inbound,10.113,-39.821,3.535
2005,256,0,58,BS,Outbound,8.435,-39.581,2.92
2005,256,8,24,BS,Outbound,9.091,-39.73,3.16
2005,256,18,44,BS,Outbound,9.975,-39.819,3.484
2005,256,21,45,BS,Outbound,10.227,-39.819,3.576
2005,257,4,24,BS,Inbound,10.771,-39.779,3.776
2005,257,20,10,BS,Inbound,12.001,-39.465,4.228
2005,257,16,38,BS,Outbound,11.733,-39.562,4.129
2005,258,18,39,BS,Inbound,13.59,-38.485,4.814
2005,258,15,45,BS,Outbound,13.397,-38.646,4.743
2005,263,6,20,MP,Inbound,17.22,-24.57,6.2
2005,263,7,30,MP,Outbound,17.21,-24.32,6.19
2005,264,9,15,MP,Inbound,16.27,-18.1,5.88
2005,264,17,20,MP,Inbound,15.68,-15.77,5.67
2005,264,4,0,MP,Outbound,16.56,-19.49,5.98
2005,264,15,0,MP,Outbound,15.88,-16.5,5.74
2005,273,13,10,MP,Inbound,6.63,-38.61,2.24
2005,273,10,37,MP,Outbound,6.4,-38.48,2.15
2005,274,1,10,MP,Inbound,7.74,-39.13,2.64
2005,274,0,1,MP,Outbound,7.64,-39.09,2.6
2005,275,10,10,MP,Inbound,10.58,-39.56,3.67
2005,275,20,0,MP,Inbound,11.36,-39.41,3.95
2005,275,7,15,MP,Outbound,10.34,-39.58,3.58
2005,275,18,5,MP,Outbound,11.21,-39.45,3.9
2005,276,9,24,MP,Inbound,12.37,-39.02,4.32
2005,276,3,10,MP,Outbound,11.9,-39.23,4.15
2005,276,17,45,MP,Outbound,12.95,-38.66,4.53
2005,278,6,22,BS,Outbound,15.154,-36.016,5.343
2005,279,8,10,BS,Inbound,16.283,-33.125,5.763
2005,279,18,28,BS,Inbound,16.611,-31.712,5.888
2005,279,13,56,BS,Outbound,16.476,-32.353,5.836
2005,280,12,44,BS,Outbound,16.985,-28.811,6.034
2005,281,11,6,BS,Inbound,16.994,-24.503,6.055
2005,281,12,41,BS,Inbound,16.971,-24.163,6.048
2005,281,21,3,BS,Inbound,16.795,-22.283,5.991
2005,281,11,53,BS,Outbound,16.983,-24.335,6.051
2005,281,19,46,BS,Outbound,16.828,-22.58,6.002
2005,282,9,54,BS,Inbound,16.296,-19.096,5.823
2005,282,8,38,BS,Outbound,16.359,-19.427,5.845
2005,283,2,0,MP,Inbound,15.17,-14.52,5.43
2005,283,6,10,MP,Inbound,14.75,-13.21,5.29
2005,283,11,5,MP,Inbound,14.17,-11.58,5.08
2005,283,11,40,MP,Inbound,14.09,-11.38,5.06
2005,283,4,0,MP,Outbound,14.98,-13.9,5.37
2005,283,6,40,MP,Outbound,14.68,-13.02,5.26
2005,283,11,15,MP,Outbound,14.14,-11.52,5.08
2005,288,6,20,MP,Inbound,-1.95,-28.46,-0.88
2005,288,9,45,MP,Inbound,-1.6,-29.15,-0.76
2005,288,16,40,MP,Inbound,-0.89,-30.46,-0.51
2005,288,20,25,MP,Inbound,-0.51,-31.11,-0.38
2005,288,5,50,MP,Outbound,-2,-28.36,-0.9
2005,288,6,25,MP,Outbound,-1.94,-28.48,-0.88
2005,288,14,45,MP,Outbound,-1.06,-30.15,-0.57
2005,288,17,15,MP,Outbound,-0.83,-30.57,-0.49
2005,288,20,45,MP,Outbound,-0.46,-31.18,-0.36
2005,289,20,50,MP,Inbound,2.02,-34.67,0.52
