RING PLANE CROSSING ,,,,,
Seq  = Cassini planning sequence,,,,,
 Rev = revolution - defined from apoapse to apoapse,,,,,
"Rs = 60,268 km",,,,,
Seq,Rev,Event,Epoch (SCET),Date,Range(Rs)
S80,197,Ascending Ring Crossing,2013-246T22:11,3-Sep,30.063
S80,197,Descending Ring Crossing,2013-255T08:01,12-Sep,20.087
S80,198,Ascending Ring Crossing,2013-273T19:22,30-Sep,43.208
S80,198,Descending Ring Crossing,2013-287T05:11,14-Oct,20.069
S81,198,Ascending Ring Crossing,2013-309T19:00,5-Nov,64.016
S81,199,Descending Ring Crossing,2013-335T00:51,1-Dec,20.064
S81,199,Ascending Ring Crossing,2013-347T08:41,13-Dec,42.176
S82,200,Descending Ring Crossing,2014-001T22:10,1-Jan,20.064
S82,200,Ascending Ring Crossing,2014-011T07:04,11-Jan,37.259
S82,201,Descending Ring Crossing,2014-033T19:22,2-Feb,20.051
S82,201,Ascending Ring Crossing,2014-040T19:03,9-Feb,30.801
S82,202,Descending Ring Crossing,2014-065T16:34,6-Mar,20.047
S82,202,Ascending Ring Crossing,2014-071T01:27,12-Mar,24.817
S83,203,Descending Ring Crossing,2014-097T13:50,7-Apr,20.025
S83,203,Ascending Ring Crossing,2014-101T21:26,11-Apr,20.664
S83,204,Descending Ring Crossing,2014-133T09:12,13-May,20.018
S83,204,Ascending Ring Crossing,2014-137T16:44,17-May,20.651
S84,205,Descending Ring Crossing,2014-164T17:28,13-Jun,21.969
S84,205,Ascending Ring Crossing,2014-169T13:59,18-Jun,20.649
S84,206,Descending Ring Crossing,2014-195T17:19,14-Jul,25.715
S84,206,Ascending Ring Crossing,2014-201T11:11,20-Jul,20.664
S85,207,Descending Ring Crossing,2014-226T18:38,14-Aug,28.972
S85,207,Ascending Ring Crossing,2014-233T08:18,21-Aug,20.455
S85,208,Descending Ring Crossing,2014-260T08:33,17-Sep,22.262
S85,208,Ascending Ring Crossing,2014-265T05:30,22-Sep,20.455
S86,209,Descending Ring Crossing,2014-293T06:10,20-Oct,17.28
S86,209,Ascending Ring Crossing,2014-297T02:51,24-Oct,20.488
S86,210,Descending Ring Crossing,2014-341T06:38,7-Dec,17.701
S86,210,Ascending Ring Crossing,2014-344T22:35,10-Dec,20.504
S87,211,Descending Ring Crossing,2015-009T01:16,9-Jan,10.907
S87,211,Ascending Ring Crossing,2015-011T19:57,11-Jan,20.504
S87,212,Descending Ring Crossing,2015-041T06:10,10-Feb,8.783
S87,212,Ascending Ring Crossing,2015-043T17:17,12-Feb,20.518
S88,213,Descending Ring Crossing,2015-073T07:05,14-Mar,7.721
S88,213,Ascending Ring Crossing,2015-075T14:12,16-Mar,20.395
S88,213,Descending Ring Crossing,2015-076T04:06,17-Mar,24.326
S88,214,Ascending Ring Crossing,2015-101T11:50,11-Apr,6.331
S88,214,Descending Ring Crossing,2015-104T07:50,14-Apr,25.008
S89,215,Ascending Ring Crossing,2015-129T09:43,9-May,6.633
S89,215,Descending Ring Crossing,2015-130T06:39,10-May,8.542
S89,216,Ascending Ring Crossing,2015-148T06:33,28-May,6.646
S89,216,Descending Ring Crossing,2015-149T03:34,29-May,8.575
S89,217,Descending Ring Crossing,2015-167T00:00,17-Jun,7.948
S89,217,Ascending Ring Crossing,2015-167T04:24,16-Jun,6.641
S89,218,Ascending Ring Crossing,2015-186T01:58,5-Jul,7.056
S89,218,Descending Ring Crossing,2015-186T22:28,5-Jul,7.931
S90,219,Ascending Ring Crossing,2015-207T18:04,26-Jul,8.213
S90,219,Descending Ring Crossing,2015-208T19:00,27-Jul,8.808
S90,220,Ascending Ring Crossing,2015-229T13:41,17-Aug,8.203
S90,220,Descending Ring Crossing,2015-230T12:45,18-Aug,8.045
S90,221,Ascending Ring Crossing,2015-251T08:03,8-Sep,9
S90,221,Descending Ring Crossing,2015-252T09:02,9-Sep,8.047
S91,222,Ascending Ring Crossing,2015-272T22:39,29-Sep,11.041
S91,222,Descending Ring Crossing,2015-273T18:48,30-Sep,3.513
S91,223,Ascending Ring Crossing,2015-286T23:55,13-Oct,9.488
S91,223,Descending Ring Crossing,2015-287T17:02,14-Oct,3.703
S91,224,Ascending Ring Crossing,2015-300T21:22,27-Oct,9.66
S91,224,Descending Ring Crossing,2015-301T14:50,28-Oct,3.685
S91,225,Ascending Ring Crossing,2015-314T18:33,10-Nov,9.837
S91,225,Descending Ring Crossing,2015-315T12:19,11-Nov,3.653
S91,225,Ascending Ring Crossing,2015-321T11:31,17-Nov,32.291
S91,226,Descending Ring Crossing,2015-328T03:11,24-Nov,2.532
S92,226,Ascending Ring Crossing,2015-334T00:34,30-Nov,32.198
S92,227,Descending Ring Crossing,2015-340T20:26,6-Dec,2.531
S92,227,Ascending Ring Crossing,2015-346T13:38,12-Dec,32.107
S92,228,Descending Ring Crossing,2015-353T14:00,19-Dec,2.57
S92,228,Ascending Ring Crossing,2015-358T21:56,24-Dec,31.872
S92,229,Descending Ring Crossing,2016-001T10:28,1-Jan,2.574
S92,229,Ascending Ring Crossing,2016-006T13:16,6-Jan,31.587
S92,230,Descending Ring Crossing,2016-014T06:45,14-Jan,2.573
S92,230,Ascending Ring Crossing,2016-017T04:44,17-Jan,26.148
S92,231,Descending Ring Crossing,2016-030T03:43,30-Jan,3.597
S92,231,Ascending Ring Crossing,2016-032T05:03,1-Feb,21.032
S93,232,Descending Ring Crossing,2016-046T00:38,15-Feb,4.122
S93,232,Ascending Ring Crossing,2016-048T01:59,17-Feb,20.528
S93,233,Descending Ring Crossing,2016-069T15:35,9-Mar,7.126
S93,233,Ascending Ring Crossing,2016-071T23:09,11-Mar,20.38
S93,234,Descending Ring Crossing,2016-093T13:49,2-Apr,7.139
S93,234,Ascending Ring Crossing,2016-095T21:17,4-Apr,20.363
S94,235,Descending Ring Crossing,2016-125T00:14,4-May,10.917
S94,235,Ascending Ring Crossing,2016-127T18:06,6-May,20.247
S94,236,Descending Ring Crossing,2016-156T09:16,4-Jun,14.083
S94,236,Ascending Ring Crossing,2016-159T15:03,7-Jun,20.167
S95,237,Descending Ring Crossing,2016-180T00:02,28-Jun,14.362
S95,237,Ascending Ring Crossing,2016-183T12:25,1-Jul,20.177
S95,238,Descending Ring Crossing,2016-203T22:39,21-Jul,14.372
S95,238,Ascending Ring Crossing,2016-207T10:45,25-Jul,20.108
S95,239,Descending Ring Crossing,2016-220T01:58,7-Aug,11.124
S95,239,Ascending Ring Crossing,2016-223T09:14,10-Aug,20.083
S95,240,Descending Ring Crossing,2016-232T06:11,19-Aug,8.213
S95,240,Ascending Ring Crossing,2016-235T07:59,22-Aug,20.087
S95,241,Descending Ring Crossing,2016-244T05:00,31-Aug,8.214
S95,241,Ascending Ring Crossing,2016-247T06:49,3-Sep,20.094
S96,242,Descending Ring Crossing,2016-256T04:10,12-Sep,8.223
S96,242,Ascending Ring Crossing,2016-259T06:03,15-Sep,20.097
S96,243,Descending Ring Crossing,2016-268T03:19,24-Sep,8.212
S96,243,Ascending Ring Crossing,2016-271T04:58,27-Sep,20.067
S96,244,Descending Ring Crossing,2016-277T21:27,3-Oct,5.806
S96,244,Ascending Ring Crossing,2016-280T18:25,6-Oct,20.075
S96,245,Descending Ring Crossing,2016-287T11:07,13-Oct,5.812
S96,245,Ascending Ring Crossing,2016-290T08:08,16-Oct,20.077
S96,246,Descending Ring Crossing,2016-297T00:47,23-Oct,5.806
S96,246,Ascending Ring Crossing,2016-299T21:42,25-Oct,20.063
S96,247,Descending Ring Crossing,2016-306T14:17,1-Nov,5.801
S96,247,Ascending Ring Crossing,2016-309T11:08,4-Nov,20.062
S96,248,Descending Ring Crossing,2016-316T03:52,11-Nov,5.799
S96,248,Ascending Ring Crossing,2016-319T00:36,14-Nov,20.05
S96,249,Descending Ring Crossing,2016-324T07:47,19-Nov,3.677
S96,249,Ascending Ring Crossing,2016-326T23:40,21-Nov,20.055
S97,250,Descending Ring Crossing,2016-332T07:01,27-Nov,3.678
S97,250,Ascending Ring Crossing,2016-334T22:51,29-Nov,20.052
S97,251,Descending Ring Crossing,2016-339T13:16,4-Dec,2.533
S97,251,Ascending Ring Crossing,2016-342T03:01,7-Dec,20.062
S97,252,Descending Ring Crossing,2016-346T17:32,11-Dec,2.533
S97,252,Ascending Ring Crossing,2016-349T07:16,14-Dec,20.058
S97,253,Descending Ring Crossing,2016-353T21:35,18-Dec,2.514
S97,253,Ascending Ring Crossing,2016-356T11:08,21-Dec,20.049
S97,254,Descending Ring Crossing,2016-361T01:37,26-Dec,2.512
S97,254,Ascending Ring Crossing,2016-363T15:08,28-Dec,20.044
S97,255,Descending Ring Crossing,2017-002T05:33,2-Jan,2.508
S97,255,Ascending Ring Crossing,2017-004T19:01,4-Jan,20.041
S97,256,Descending Ring Crossing,2017-009T09:26,9-Jan,2.506
S97,256,Ascending Ring Crossing,2017-011T22:53,11-Jan,20.038
S97,257,Descending Ring Crossing,2017-016T13:18,16-Jan,2.507
S97,257,Ascending Ring Crossing,2017-019T02:46,19-Jan,20.042
S97,258,Descending Ring Crossing,2017-023T17:11,23-Jan,2.507
S97,258,Ascending Ring Crossing,2017-026T06:41,26-Jan,20.045
S98,259,Descending Ring Crossing,2017-030T21:08,30-Jan,2.509
S98,259,Ascending Ring Crossing,2017-033T10:36,2-Feb,20.053
S98,260,Descending Ring Crossing,2017-038T01:30,7-Feb,2.528
S98,260,Ascending Ring Crossing,2017-040T15:04,9-Feb,20.061
S98,261,Descending Ring Crossing,2017-045T06:01,14-Feb,2.529
S98,261,Ascending Ring Crossing,2017-047T19:35,16-Feb,20.058
S98,262,Descending Ring Crossing,2017-052T10:07,21-Feb,2.493
S98,262,Ascending Ring Crossing,2017-054T23:31,23-Feb,20.057
S98,263,Descending Ring Crossing,2017-059T14:14,28-Feb,2.492
S98,263,Ascending Ring Crossing,2017-062T03:36,3-Mar,20.053
S98,264,Descending Ring Crossing,2017-066T18:13,7-Mar,2.482
S98,264,Ascending Ring Crossing,2017-069T07:26,10-Mar,20.042
S98,265,Descending Ring Crossing,2017-073T22:08,14-Mar,2.48
S98,265,Ascending Ring Crossing,2017-076T11:19,17-Mar,20.038
S98,266,Descending Ring Crossing,2017-081T01:59,22-Mar,2.479
S98,266,Ascending Ring Crossing,2017-083T15:11,24-Mar,20.039
S98,267,Descending Ring Crossing,2017-088T05:50,29-Mar,2.478
S98,267,Ascending Ring Crossing,2017-090T19:01,31-Mar,20.038
S98,268,Descending Ring Crossing,2017-095T09:41,5-Apr,2.479
S98,268,Ascending Ring Crossing,2017-097T22:53,7-Apr,20.045
S99,269,Descending Ring Crossing,2017-102T13:40,12-Apr,2.484
S99,269,Ascending Ring Crossing,2017-105T02:55,15-Apr,20.049
S99,270,Descending Ring Crossing,2017-109T17:44,19-Apr,2.485
S99,270,Ascending Ring Crossing,2017-112T07:11,22-Apr,20.081
S99,271,Descending Ring Crossing,2017-116T09:42,26-Apr,1.063
S99,271,Ascending Ring Crossing,2017-118T17:53,28-Apr,20.062
S99,272,Descending Ring Crossing,2017-122T20:44,2-May,1.063
S99,272,Ascending Ring Crossing,2017-125T04:38,5-May,20.034
S99,273,Descending Ring Crossing,2017-129T07:41,9-May,1.059
S99,273,Ascending Ring Crossing,2017-131T15:14,11-May,19.993
S99,274,Descending Ring Crossing,2017-135T18:33,15-May,1.058
S99,274,Ascending Ring Crossing,2017-138T01:51,18-May,19.968
S99,275,Descending Ring Crossing,2017-142T05:25,22-May,1.059
S99,275,Ascending Ring Crossing,2017-144T12:25,24-May,19.954
S99,276,Descending Ring Crossing,2017-148T16:54,28-May,1.076
S99,276,Ascending Ring Crossing,2017-150T23:38,30-May,19.927
S99,277,Descending Ring Crossing,2017-155T04:27,4-Jun,1.076
S99,277,Ascending Ring Crossing,2017-157T10:52,6-Jun,19.892
S99,278,Descending Ring Crossing,2017-161T15:55,10-Jun,1.067
S99,278,Ascending Ring Crossing,2017-163T21:45,12-Jun,19.826
S100,279,Descending Ring Crossing,2017-168T03:14,17-Jun,1.066
S100,279,Ascending Ring Crossing,2017-170T08:46,19-Jun,19.79
S100,280,Descending Ring Crossing,2017-174T14:32,23-Jun,1.067
S100,280,Ascending Ring Crossing,2017-176T19:47,25-Jun,19.764
S100,281,Descending Ring Crossing,2017-181T02:03,30-Jun,1.071
S100,281,Ascending Ring Crossing,2017-183T07:00,2-Jul,19.732
S100,282,Descending Ring Crossing,2017-187T13:38,6-Jul,1.072
S100,282,Ascending Ring Crossing,2017-189T18:16,8-Jul,19.691
S100,283,Descending Ring Crossing,2017-194T01:04,13-Jul,1.056
S100,283,Ascending Ring Crossing,2017-196T04:57,15-Jul,19.609
S100,284,Descending Ring Crossing,2017-200T12:25,19-Jul,1.055
S100,284,Ascending Ring Crossing,2017-202T15:57,21-Jul,19.564
S100,285,Descending Ring Crossing,2017-206T23:43,25-Jul,1.055
S100,285,Ascending Ring Crossing,2017-209T02:56,28-Jul,19.526
S100,286,Descending Ring Crossing,2017-213T11:06,1-Aug,1.056
S100,286,Ascending Ring Crossing,2017-215T14:00,3-Aug,19.486
S100,287,Descending Ring Crossing,2017-219T22:33,7-Aug,1.057
S100,287,Ascending Ring Crossing,2017-222T01:05,10-Aug,19.441
S100,288,Descending Ring Crossing,2017-226T09:42,14-Aug,1.034
S100,288,Ascending Ring Crossing,2017-228T11:33,16-Aug,19.361
S100,289,Descending Ring Crossing,2017-232T20:55,20-Aug,1.034
S100,289,Ascending Ring Crossing,2017-234T22:21,22-Aug,19.305
S101,290,Descending Ring Crossing,2017-239T08:04,27-Aug,1.033
S101,290,Ascending Ring Crossing,2017-241T09:06,29-Aug,19.251
S101,291,Descending Ring Crossing,2017-245T19:12,2-Sep,1.033
S101,291,Ascending Ring Crossing,2017-247T19:53,4-Sep,19.201
S101,292,Descending Ring Crossing,2017-252T06:23,9-Sep,1.034
S101,292,Ascending Ring Crossing,2017-254T06:41,11-Sep,19.149
S101,293,Descending Ring Crossing,2017-258T17:04,15-Sep,0.988
